"ID","Body","Account","Car (VIN)","Stars","Title","Duration","Published"
"","Took it on some rough trails and it didn't flinch once.","1","1C6SRFU91NN368585","3","Conquered everything","1","1761955200.0"
"","Big comfortable and easy to drive despite its size. Great for road trips.","1","1FTFW1RG2KFC24109","3","Commanding presence","1","1762094225.5"
"","Faster than anything I've driven before. Loved every second.","1","1G1FE1R70N0117014","4","Absolutely quick","1","1762233250.9"
"","Nothing like the feel of a true performance machine. Would rent again.","1","1G1YA2D41P5130464","4","Raw and exciting","1","1762372276.4"
"","The acceleration is savage and the sound is music to my ears.","1","1G1YY2182J5117085","4","Incredible machine","1","1762511301.8"
"","This car is incredible. Every corner every straightaway it delivers.","1","1G1YY24UX55101683","4","Pure driving bliss","1","1762650327.3"
"","Big comfortable and easy to drive despite its size. Great for road trips.","1","1GNS6DKD6TR245343","3","Commanding presence","1","1762789352.7"
"","Commanding yet refined. The interior quality is outstanding.","1","1HGCM82633A004352","5","Effortless elegance","1","1762928378.2"
"","This car does everything brilliantly without breaking a sweat.","1","1HGCM82633A004399","3","Quiet confidence","1","1763067403.6"
"","Long highway stretches feel like nothing in this car. Exceptional.","1","1L1FM81W6YY940880","5","Pure comfort","1","1763206429.1"
"","This car is incredible. Every corner every straightaway it delivers.","1","3MF13DM05P8D14978","5","Pure driving bliss","1","1763345454.5"
"","Every detail is perfect. I felt like royalty the entire time.","1","3MW5R1J00L8B14023","3","Rolling first class","1","1763484480.0"
"","This thing climbed terrain I didn't think was possible for a rental.","1","3TYLE5JN7RT053539","3","Go-anywhere attitude","1","1763623505.5"
"","More fun than it looks. Nippy in the city and easy on gas.","1","3VV0B7AX1NM077609","3","Practical and fun","1","1763762530.9"
"","Not exciting but does everything well. Perfect city runabout.","1","3VV1X7B24NM001973","4","Sensible pick","1","1763901556.4"
"","Exactly what I needed. Fuel efficient and surprisingly fun to drive.","1","3VW1T7BU7NM028240","4","Great value","1","1764040581.8"
"","Easy to park cheap to run and comfortable enough for daily use.","1","3VWDD21C3YM416110","5","Smart choice","1","1764179607.3"
"","No frills no fuss. Just a solid reliable car for getting around.","1","3VWH17AUXKM506166","5","Does the job","1","1764318632.7"
"","Four-wheel drive engaged and nothing could stop us. Brilliant off-roader.","1","43511510125842","3","Unstoppable","1","1764457658.2"
"","Long highway stretches feel like nothing in this car. Exceptional.","1","4JGFB4JB0NA657602","5","Pure comfort","1","1764596683.6"
"","Massive interior with tons of cargo room. Perfect for the whole family.","1","4JGFF5KE0NA582001","4","Space for days","1","1764735709.1"
